query,call_id
Customer is asking for discount on diesel sensor,45338
Customer is asking for discount on diesel sensor,45556
Customer is asking for discount on diesel sensor,45320
Customer is asking for discount on diesel sensor,45349
Customer declined purchased because he is not confident on the quality of delivery in Diesel sensor,45338
Customer declined purchased because he is not confident on the quality of delivery in Diesel sensor,45556
Certain feature in product is not working properly,45537
Certain feature in product is not working properly,45575
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,45338
Customer wants refunds for his diesel sensor because of below expectations performance,45338
Customer wants refunds for his diesel sensor because of below expectations performance,45540
Customer wants refunds for his diesel sensor because of below expectations performance,45556
Customer agreed to purchase diesel sensor,45338
Customer agreed to purchase diesel sensor,45320
Customer has heard bad reviews of diesel sensor from his colleagues,45338
Customer has heard bad reviews of diesel sensor from his colleagues,45556
Customer has heard bad reviews of diesel sensor from his colleagues,45320
Customer is really angry and using bad language about diesel sensor,45338
Customer is really angry and using bad language about diesel sensor,45556
Customer is really angry and using bad language about diesel sensor,45527
Customer is really angry and using bad language about diesel sensor,45320
Price too high for diesel sensor,44464
Price too high for diesel sensor,45338
Price too high for diesel sensor,45556
Price too high for diesel sensor,45540
Price too high for diesel sensor,44465
Customer would like to get complete vitamin profile done after a month’s time,45537
Customer would like to get complete vitamin profile done after a month’s time,44464
Diesel sensor gives wrong readings,45338
Diesel sensor gives wrong readings,45527
Diesel sensor gives wrong readings,45320
Diesel sensor gives wrong readings,45560
Not repaying back loan and asking for more time,45557
Not repaying back loan and asking for more time,45344
Not repaying back loan and asking for more time,45540
Pitched Diesel sensor to customer,45338
Pitched Diesel sensor to customer,45556
Pitched Diesel sensor to customer,45320
Pitched Diesel sensor to customer,45332
Customer is very happy with diesel sensor performance and would like to buy for his other vehicles,45338
Customer is very happy with diesel sensor performance and would like to buy for his other vehicles,45320
Customer wants to know when he will get the blood test report,45550
Customer wants to know when he will get the blood test report,45569
"Customer postponed purchase of diesel sensor, will buy later",45338
"Customer postponed purchase of diesel sensor, will buy later",45540
"Customer postponed purchase of diesel sensor, will buy later",45556
Conversation reached till price stage in sales conversation for diesel sensor,45338
Conversation reached till price stage in sales conversation for diesel sensor,45556
Conversation reached till price stage in sales conversation for diesel sensor,45591
Customer is facing a bug in the Mobile app,45371
Customer is facing a bug in the Mobile app,45319
Customer is facing a bug in the Mobile app,45557
