query,presition,recall
Dmart opening at Sec 48 Gurgaon,0,0
Customer is asking for discount on diesel sensor,0.0,0
Customer declined purchased because he is not confident on the quality of delivery in Diesel sensor,0.0,0
Customer has agreed for taking home loan,0,0
Certain feature in product is not working properly,0.0,0
Per perplexity comet is the future of browsing,0,0
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,0.0,0
Customer wants refunds for his diesel sensor because of below expectations performance,0.0,0
Customer agreed to purchase diesel sensor,0.0,0
Customer has heard bad reviews of diesel sensor from his colleagues,0.0,0
Customer is really angry and using bad language about diesel sensor,0.0,0
Price too high for diesel sensor,0.0,0
Customer would like to get complete vitamin profile done after a month’s time,0.0,0
Diesel sensor gives wrong readings,0.0,0
Open Ai is soon going to launch a job platform,0,0
Customer wants to add certain feature in product,0,0
Not repaying back loan and asking for more time,0.0,0
Happy about India stance on US tariffs ,0,0
Annual Fastag plans is live from mid of Aug 2025 and can be purchased from banks,0,0
Pitched Diesel sensor to customer,0.0,0
Customer is very happy with diesel sensor performance and would like to buy for his other vehicles,0.0,0
Customer wants to know when he will get the blood test report,0.0,0
"Customer postponed purchase of diesel sensor, will buy later",0.0,0
Conversation reached till price stage in sales conversation for diesel sensor,0.0,0
Customer is facing a bug in the Mobile app,0.0,0
Home loan interest rates are too high,0,0
